GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - 1, detached","Margin of Error; Total: - 1, detached","Estimate; Total: - 1, attached","Margin of Error; Total: - 1, attached",Estimate; Total: - 2,Margin of Error; Total: - 2,Estimate; Total: - 3 or 4,Margin of Error; Total: - 3 or 4,Estimate; Total: - 5 to 9,Margin of Error; Total: - 5 to 9,Estimate; Total: - 10 to 19,Margin of Error; Total: - 10 to 19,Estimate; Total: - 20 to 49,Margin of Error; Total: - 20 to 49,Estimate; Total: - 50 or more,Margin of Error; Total: - 50 or more,Estimate; Total: - Mobile home,Margin of Error; Total: - Mobile home,"Estimate; Total: - Boat, RV, van, etc.","Margin of Error; Total: - Boat, RV, van, etc."
1500000US360610091004,360610091004,"Block Group 4, Census Tract 91, New York County, New York",843,277,0,11,48,64,0,11,0,11,28,44,74,59,86,60,607,267,0,11,0,11
1500000US360610092001,360610092001,"Block Group 1, Census Tract 92, New York County, New York",1411,48,9,15,0,11,9,14,13,19,83,58,16,21,164,69,1117,94,0,11,0,11
1500000US360610093001,360610093001,"Block Group 1, Census Tract 93, New York County, New York",1074,266,0,11,0,11,0,11,0,11,0,11,0,11,160,104,914,274,0,11,0,11
1500000US360610093002,360610093002,"Block Group 2, Census Tract 93, New York County, New York",1065,302,18,30,0,11,0,11,0,11,27,45,136,86,256,164,628,291,0,11,0,11
1500000US360610093003,360610093003,"Block Group 3, Census Tract 93, New York County, New York",754,153,0,11,0,11,0,11,0,11,0,11,20,42,80,96,654,154,0,11,0,11
1500000US360610093004,360610093004,"Block Group 4, Census Tract 93, New York County, New York",713,194,0,11,0,11,0,11,0,11,45,69,0,11,0,11,668,191,0,11,0,11
1500000US360610093005,360610093005,"Block Group 5, Census Tract 93, New York County, New York",714,224,0,11,86,137,101,128,34,56,21,37,86,65,186,141,200,98,0,11,0,11
1500000US360610093006,360610093006,"Block Group 6, Census Tract 93, New York County, New York",983,280,81,105,0,11,0,11,0,11,0,11,27,42,113,145,762,269,0,11,0,11
1500000US360610093007,360610093007,"Block Group 7, Census Tract 93, New York County, New York",474,166,40,65,0,11,0,11,31,53,21,34,94,78,162,130,126,119,0,11,0,11
1500000US360610094001,360610094001,"Block Group 1, Census Tract 94, New York County, New York",42,19,0,11,0,11,0,11,0,11,4,6,0,11,18,19,20,22,0,11,0,11
1500000US360610095001,360610095001,"Block Group 1, Census Tract 95, New York County, New York",1039,102,0,11,16,18,14,15,26,24,153,76,199,81,119,65,512,88,0,11,0,11
1500000US360610095002,360610095002,"Block Group 2, Census Tract 95, New York County, New York",414,99,0,11,28,40,0,11,53,47,6,8,136,68,72,36,119,55,0,11,0,11
1500000US360610096001,360610096001,"Block Group 1, Census Tract 96, New York County, New York",260,59,4,6,0,11,0,11,9,15,41,27,27,20,24,22,141,40,14,22,0,11
1500000US360610097001,360610097001,"Block Group 1, Census Tract 97, New York County, New York",1188,145,0,11,0,11,0,11,0,11,0,11,52,45,96,57,1040,161,0,11,0,11
1500000US360610097002,360610097002,"Block Group 2, Census Tract 97, New York County, New York",461,128,0,11,0,11,0,11,0,11,0,11,18,28,21,34,422,125,0,11,0,11
1500000US360610097003,360610097003,"Block Group 3, Census Tract 97, New York County, New York",483,101,17,29,0,11,0,11,0,11,0,11,0,11,32,37,434,115,0,11,0,11
1500000US360610097004,360610097004,"Block Group 4, Census Tract 97, New York County, New York",804,183,0,11,0,11,0,11,13,24,58,54,125,76,281,142,327,145,0,11,0,11
